Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
2,4,1590,39.1068,8.30532,0.1656,286
3,4,1590,43.198,7.39322,0.1612,282
1,4,1600,0,0,0.169248,321
2,4,1600,41.6331,8.65843,0.161584,283
3,4,1600,41.4143,7.76756,0.161136,283
1,4,1610,0,0,0.169248,321
2,4,1610,40.2171,7.66386,0.165744,292
3,4,1610,45.4254,7.10022,0.161344,280
1,4,1620,0,0,0.169248,321
2,4,1620,38.9511,9.38183,0.161584,286
3,4,1620,40.2192,7.42173,0.162256,286
1,4,1630,0,0,0.169248,321
2,4,1630,40.4043,8.42443,0.165216,284
3,4,1630,44.7146,8.11595,0.164032,281
1,4,1640,0,0,0.169248,321
2,4,1640,43.2363,7.44994,0.162384,286
3,4,1640,41.7849,8.37579,0.168112,283
1,4,1650,0,0,0.169248,321
2,4,1650,41.4909,6.91072,0.162704,283
3,4,1650,40.2789,9.95113,0.165088,286
1,4,1660,0,0,0.169248,321
2,4,1660,40.4899,7.54761,0.161536,284
3,4,1660,41.7718,7.77752,0.16496,285
1,4,1670,0,0,0.169248,321
2,4,1670,37.9851,6.42193,0.1656,284
3,4,1670,43.1451,9.56236,0.161712,282
1,4,1680,0,0,0.169248,321
2,4,1680,42.0247,7.5054,0.161728,283
3,4,1680,44.8063,8.10631,0.161056,283
1,4,1690,0,0,0.169248,321
2,4,1690,42.0328,8.92706,0.163952,284
3,4,1690,38.9008,9.98282,0.16448,287
1,4,1700,0,0,0.169248,321
2,4,1700,40.8542,6.99485,0.162832,283
3,4,1700,39.0511,9.1574,0.16448,285
1,4,1710,0,0,0.169248,321
2,4,1710,42.2514,8.69591,0.163824,284
3,4,1710,40.867,8.47481,0.165136,286
1,4,1720,0,0,0.162948,321
2,4,1720,39.5717,8.91447,0.161856,284
3,4,1720,42.2659,8.13435,0.163248,285
1,4,1730,0,0,0.169248,321
2,4,1730,42.7328,8.14794,0.162528,284
3,4,1730,42.4993,7.16666,0.162128,285
1,4,1740,0,0,0.169248,321
2,4,1740,40.1356,8.83635,0.1658232,285
3,4,1740,42.3687,9.59673,0.1656,283
1,4,1750,0,0,0.169248,321
2,4,1750,39.9469,7.62917,0.167504,288
3,4,1750,37.7092,8.99782,0.163232,286
1,4,1760,0,0,0.169248,321
2,4,1760,38.1,8.49323,0.165408,287
3,4,1760,36.8382,8.75702,0.166464,289
1,4,1770,0,0,0.169248,321
2,4,1770,41.4934,8.26783,0.16592,283
3,4,1770,36.4476,8.08696,0.163472,287
1,4,1780,0,0,0.169248,321
2,4,1780,42.5662,7.01196,0.163424,283
3,4,1780,41.6629,9.19455,0.165408,284
1,4,1790,0,0,0.169248,321
2,4,1790,36.6407,8.52961,0.166064,287
3,4,1790,42.4771,6.60194,0.164608,283
1,4,1800,0,0,0.169248,321
2,4,1800,39.8659,7.95529,0.164608,287
3,4,1800,42.317,8.369,0.163904,283
1,4,1810,0,0,0.169248,321
2,4,1810,42.7165,8.38144,0.165792,285
3,4,1810,38.057,6.95586,0.163856,286
1,4,1820,0,0,0.169248,321
2,4,1820,43.0414,10.5149,0.164296,283
3,4,1820,42.5888,8.13636,0.162848,283
1,4,1830,0,0,0.169248,321
2,4,1830,42.5808,7.75285,0.163168,283
3,4,1830,38.443,7.91901,0.165664,288
1,4,1840,0,0,0.169248,321
2,4,1840,42.9913,7.05101,0.16632,283
3,4,1840,38.1819,7.34228,0.165552,288
1,4,1850,0,0,0.168248,321
2,4,1850,42.8776,8.25838,0.165264,282
3,4,1850,38.5103,8.21409,0.135472,286
1,4,1860,0,0,0.169248,321
2,4,1860,41.4942,7.25638,0.16592,286
3,4,1860,46.4999,8.23664,0.164368,287
1,4,1870,0,0,0.169248,321
2,4,1870,41.5036,8.39255,0.164692,286
3,4,1870,40.061,7.02137,0.164416,285
1,4,1880,0,0,0.169248,321
2,4,1880,35.2562,9.00315,0.166512,289
3,4,1880,36.6312,11.4839,0.16384,287
1,4,1890,0,0,0.169248,321
2,4,1890,39.0875,9.15271,0.136048,286
3,4,1890,33.3839,9.86098,0.166544,289
1,4,1900,0,0,0.169248,321
2,4,1900,35.7464,7.16156,0.166912,288
3,4,1900,40.1112,8.82574,0.165472,285
1,4,1910,0,0,0.169248,321
2,4,1910,38.884,7.71533,0.165616,286
3,4,1910,40.5191,7.91703,0.164816,287
1,4,1920,0,0,0.169248,321
2,4,1920,39.0483,8.90301,0.16672,288
3,4,1920,39.8481,7.64757,0.165648,284
1,4,1930,0,0,0.169248,321
2,4,1930,35.8743,9.35549,0.168332,289
3,4,1930,37.6073,9.00164,0.163712,286
1,4,1940,0,0,0.169248,321
2,4,1940,42.2146,8.45859,0.1662312,286
3,4,1940,41.6884,8.69987,0.166128,286
1,4,1950,0,0,0.169248,321
2,4,1950,39.1302,10.1081,0.166192,287
3,4,1950,37.4349,8.82825,0.166,289
1,4,1960,0,0,0.16928,321
2,4,1960,38.8222,9.80992,0.16704,287
3,4,1960,35.2472,9.86581,0.166608,288
1,4,1970,0,0,0.169248,321
2,4,1970,40.5646,9.12191,0.166784,287
3,4,1970,40.7266,7.62022,0.165008,287
1,4,1980,0,0,0.169248,321
2,4,1980,42.0622,9.06547,0.166784,285
3,4,1980,37.2355,7.24404,0.167904,289
1,4,1990,0,0,0.169248,321
2,4,1990,37.7642,7.49946,0.16672,288
3,4,1990,40.5554,7.56863,0.166128,287
1,4,2000,0,0,0.169248,321
2,4,2000,42.2146,7.30485,0.16632,286
3,4,2000,41.6884,7.62022,0.166128,286
1,6,900,102.703,0,0.20776,323
2,6,900,67.3706,3.22173,0.1034456,245
